score,accuracy,average_response_time,questions_attempted,performance_category
118.0,42.25,23.39,28,Low Performer
48.0,30.0,20.61,16,Average Performer
150.0,36.51,15.29,41,Average Performer
27.0,19.42,29.04,14,Low Performer
499.0,91.21,13.85,47,High Performer
7.0,11.23,24.53,6,Low Performer
105.0,69.7,24.11,15,Average Performer
105.0,50.0,29.82,21,Low Performer
88.0,58.89,17.71,15,Average Performer
54.0,24.46,30.0,22,Low Performer
471.0,92.13,18.13,48,High Performer
103.0,35.49,20.44,29,Average Performer
145.0,36.25,28.76,40,Average Performer
179.0,54.16,17.47,33,Average Performer
169.0,42.17,14.09,40,Average Performer
199.0,71.09,14.95,28,Average Performer
91.0,60.84,24.32,15,Average Performer
380.0,74.18,14.06,45,High Performer
85.0,42.68,25.1,20,Average Performer
96.0,41.64,19.88,23,Average Performer
151.0,43.23,13.78,35,Average Performer
218.0,75.0,28.21,29,Average Performer
288.0,88.8,16.78,27,High Performer
443.0,90.43,13.11,41,High Performer
230.0,78.37,17.44,29,High Performer
179.0,49.81,17.07,36,Average Performer
58.0,44.75,19.02,13,Low Performer
92.0,53.87,16.65,17,Average Performer
166.0,63.98,18.12,26,Average Performer
322.0,75.0,16.88,43,Average Performer
128.0,67.42,20.81,19,Average Performer
5.0,10.17,30.0,5,Low Performer
70.0,30.48,25.14,23,Average Performer
132.0,30.0,13.23,44,Average Performer
139.0,66.03,21.39,21,Average Performer
394.0,96.27,18.65,38,High Performer
0.0,0.05,15.0,15,Low Performer
137.0,49.1,23.99,28,Average Performer
290.0,77.27,10.36,29,High Performer
48.0,28.14,30.0,17,Low Performer
270.0,96.43,10.29,23,High Performer
156.0,48.86,21.76,32,Average Performer
249.0,60.66,14.67,41,Average Performer
286.0,65.09,15.61,44,Average Performer
181.0,56.52,17.84,32,Average Performer
195.0,75.0,10.0,26,Average Performer
173.0,61.7,10.21,28,Average Performer
304.0,86.97,13.93,31,High Performer
128.0,42.65,12.32,30,Average Performer
66.0,30.0,16.88,22,Average Performer
162.0,39.39,20.38,41,Average Performer
29.0,12.14,30.0,24,Low Performer
155.0,64.78,14.33,24,Average Performer
151.0,39.64,10.0,38,Average Performer
67.0,48.13,19.49,14,Low Performer
34.0,26.1,25.44,13,Low Performer
216.0,65.43,15.04,33,Average Performer
96.0,30.0,22.55,32,Average Performer
68.0,30.71,19.4,22,Average Performer
22.0,18.63,30.0,12,Low Performer
390.0,91.32,9.3,38,High Performer
389.0,77.14,10.05,43,High Performer
9.0,17.83,18.4,5,Low Performer
74.0,37.0,22.45,20,Low Performer
346.0,78.56,14.74,44,High Performer
237.0,76.96,19.95,27,High Performer
223.0,61.86,15.63,36,Average Performer
276.0,85.74,5.99,23,High Performer
187.0,71.81,10.0,26,Average Performer
283.0,80.99,5.35,33,High Performer
74.0,43.49,20.57,17,Average Performer
415.0,87.16,10.6,42,High Performer
40.0,50.0,20.96,8,Low Performer
86.0,42.76,25.57,20,Low Performer
108.0,39.86,22.29,27,Low Performer
279.0,83.58,7.49,25,High Performer
72.0,30.0,14.58,24,Average Performer
433.0,94.15,12.71,44,High Performer
245.0,86.66,5.0,22,High Performer
367.0,68.31,8.29,46,High Performer
210.0,56.82,23.91,37,Average Performer
55.0,22.98,28.24,24,Low Performer
53.0,26.36,19.21,20,Low Performer
68.0,32.6,14.52,21,Average Performer
128.0,41.23,15.53,31,Average Performer
312.0,79.29,13.05,34,High Performer
331.0,85.92,9.06,39,High Performer
148.0,41.1,12.21,36,Average Performer
45.0,37.51,19.31,12,Low Performer
308.0,75.0,12.94,41,Average Performer
33.0,14.22,30.0,23,Low Performer
108.0,56.67,16.97,19,Average Performer
180.0,54.47,22.84,33,Average Performer
105.0,30.0,23.45,35,Average Performer
81.0,38.68,28.97,21,Low Performer
150.0,75.0,22.33,20,Average Performer
226.0,56.61,13.75,40,Average Performer
225.0,75.0,19.53,30,Average Performer
406.0,91.45,20.3,41,High Performer
303.0,71.8,10.25,32,High Performer
16.0,17.65,28.85,9,Low Performer
292.0,67.94,20.52,43,Average Performer
205.0,83.39,10.07,22,High Performer
94.0,44.89,17.17,21,Average Performer
9.0,8.52,22.92,10,Low Performer
202.0,75.0,19.35,27,Average Performer
481.0,91.73,7.57,47,High Performer
78.0,52.31,12.65,15,Average Performer
198.0,49.62,20.57,40,Average Performer
108.0,46.94,25.55,23,Average Performer
135.0,50.0,17.25,27,Low Performer
90.0,52.67,22.04,17,Average Performer
120.0,54.38,15.45,22,Average Performer
191.0,54.63,12.09,35,Average Performer
72.0,27.79,19.53,26,Low Performer
53.0,30.92,20.26,17,Low Performer
185.0,50.05,12.49,37,Average Performer
171.0,42.81,21.84,40,Average Performer
89.0,49.33,23.42,18,Average Performer
240.0,66.56,14.1,36,Average Performer
241.0,77.96,14.88,25,High Performer
330.0,75.0,14.66,44,Average Performer
110.0,50.0,26.3,22,Low Performer
211.0,74.63,11.89,22,High Performer
387.0,83.88,14.22,40,High Performer
0.0,0.0,28.37,12,Low Performer
11.0,4.53,30.0,24,Low Performer
237.0,84.23,10.43,21,High Performer
39.0,32.48,22.94,12,Low Performer
8.0,12.63,15.0,6,Low Performer
120.0,30.0,22.85,40,Average Performer
123.0,30.0,20.66,41,Average Performer
58.0,41.31,25.24,14,Low Performer
202.0,69.72,22.14,29,Average Performer
86.0,30.64,11.06,28,Average Performer
276.0,88.69,9.11,23,High Performer
386.0,79.71,12.34,43,High Performer
69.0,30.0,21.27,23,Average Performer
266.0,72.2,14.34,27,High Performer
158.0,39.4,11.38,40,Average Performer
286.0,64.94,13.66,44,Average Performer
131.0,62.58,20.11,21,Average Performer
40.0,50.0,22.07,8,Low Performer
330.0,77.98,12.58,38,High Performer
189.0,76.69,15.75,25,High Performer
134.0,60.9,10.0,22,Average Performer
132.0,30.0,14.25,44,Average Performer
176.0,48.9,16.97,36,Average Performer
132.0,42.44,10.44,31,Average Performer
96.0,45.81,30.0,21,Low Performer
112.0,75.0,25.22,15,Average Performer
286.0,69.72,19.14,41,Average Performer
124.0,56.31,12.93,22,Average Performer
195.0,44.42,14.67,44,Average Performer
493.0,100.0,13.28,46,High Performer
63.0,44.89,30.0,14,Low Performer
109.0,64.29,19.12,17,Average Performer
515.0,100.0,14.99,49,High Performer
208.0,70.98,9.33,24,High Performer
31.0,24.06,20.34,13,Low Performer
120.0,30.0,20.73,40,Average Performer
382.0,95.65,7.6,36,High Performer
262.0,92.19,13.32,23,High Performer
352.0,100.0,9.57,32,High Performer
51.0,30.0,23.18,17,Average Performer
146.0,45.67,15.34,32,Average Performer
119.0,32.09,12.99,37,Average Performer
90.0,36.19,16.5,25,Average Performer
8.0,2.94,21.29,26,Low Performer
467.0,97.38,10.82,39,High Performer
225.0,66.19,19.07,34,Average Performer
312.0,80.11,13.38,35,High Performer
60.0,50.0,27.78,12,Low Performer
215.0,58.03,17.75,37,Average Performer
369.0,90.41,7.58,36,High Performer
123.0,30.0,11.53,41,Average Performer
36.0,32.37,27.69,11,Low Performer
102.0,36.31,20.28,28,Average Performer
243.0,75.33,19.97,28,High Performer
319.0,83.93,5.0,33,High Performer
75.0,50.0,25.76,15,Low Performer
399.0,93.5,19.03,34,High Performer
203.0,48.3,27.05,42,Average Performer
64.0,29.09,22.33,22,Low Performer
228.0,89.44,14.35,22,High Performer
121.0,55.08,21.94,22,Average Performer
296.0,100.0,12.2,27,High Performer
137.0,57.07,17.21,24,Average Performer
242.0,56.39,20.83,43,Average Performer
238.0,60.94,18.88,39,Average Performer
16.0,26.46,27.18,6,Low Performer
153.0,58.8,11.48,26,Average Performer
87.0,51.25,18.12,17,Average Performer
19.0,11.84,30.0,16,Low Performer
105.0,47.8,10.0,22,Average Performer
107.0,59.43,23.76,18,Average Performer
352.0,79.23,11.94,38,High Performer
175.0,40.69,22.76,43,Average Performer
124.0,49.6,13.37,25,Average Performer
130.0,40.5,19.08,32,Average Performer
489.0,89.92,16.39,49,High Performer
291.0,90.3,9.9,28,High Performer
334.0,94.69,5.0,31,High Performer
54.0,30.0,20.83,18,Average Performer
161.0,59.8,24.12,27,Average Performer
118.0,69.35,16.33,17,Average Performer
115.0,50.0,25.4,23,Low Performer
103.0,51.66,18.85,20,Average Performer
143.0,67.98,22.49,21,Average Performer
166.0,63.97,18.97,26,Average Performer
424.0,99.77,16.09,40,High Performer
209.0,55.1,25.2,38,Average Performer
110.0,47.67,15.78,23,Average Performer
183.0,52.38,10.91,35,Average Performer
296.0,86.86,7.73,28,High Performer
142.0,75.0,10.0,19,Average Performer
152.0,46.05,19.3,33,Average Performer
246.0,89.54,13.25,24,High Performer
197.0,44.88,17.55,44,Average Performer
61.0,21.94,27.82,28,Low Performer
277.0,76.79,9.57,29,High Performer
130.0,36.03,14.7,36,Average Performer
27.0,38.06,26.64,7,Low Performer
97.0,33.38,27.19,29,Low Performer
272.0,63.34,19.59,43,Average Performer
111.0,46.22,21.4,24,Average Performer
141.0,52.18,21.79,27,Average Performer
227.0,59.63,18.39,38,Average Performer
152.0,54.2,25.66,28,Average Performer
146.0,61.02,24.29,24,Average Performer
77.0,26.63,23.89,29,Low Performer
310.0,82.79,18.31,32,High Performer
45.0,30.1,27.08,15,Average Performer
133.0,32.4,25.32,41,Average Performer
231.0,69.93,15.67,33,Average Performer
38.0,34.47,19.91,11,Low Performer
58.0,24.28,20.83,24,Low Performer
199.0,68.54,18.68,29,Average Performer
400.0,87.41,13.87,43,High Performer
405.0,88.34,7.44,35,High Performer
476.0,86.71,19.09,45,High Performer
472.0,87.9,15.4,46,High Performer
173.0,46.68,10.0,37,Average Performer
147.0,47.3,21.87,31,Average Performer
380.0,93.66,16.65,34,High Performer
387.0,86.7,11.36,38,High Performer
180.0,75.0,17.88,24,Average Performer
157.0,41.39,14.12,38,Average Performer
67.0,39.12,21.81,17,Average Performer
475.0,86.81,14.56,48,High Performer
323.0,84.4,14.97,33,High Performer
93.0,40.44,14.58,23,Average Performer
105.0,52.45,13.89,20,Average Performer
158.0,68.72,13.09,23,Average Performer
1.0,1.02,26.9,10,Low Performer
400.0,84.65,15.56,44,High Performer
151.0,62.93,17.86,24,Average Performer
83.0,43.57,10.0,19,Average Performer
330.0,75.0,19.4,44,Average Performer
445.0,76.78,11.49,45,High Performer
191.0,65.85,16.62,29,Average Performer
136.0,64.64,13.94,21,Average Performer
108.0,30.0,18.85,36,Average Performer
79.0,39.51,29.34,20,Low Performer
264.0,83.72,8.11,26,High Performer
69.0,36.32,15.9,19,Average Performer
37.0,24.86,26.9,15,Low Performer
183.0,61.16,15.67,30,Average Performer
26.0,43.85,18.7,6,Low Performer
101.0,48.29,16.29,21,Average Performer
200.0,51.25,21.46,39,Average Performer
271.0,61.69,16.34,44,Average Performer
50.0,31.25,20.48,16,Low Performer
194.0,57.12,18.07,34,Average Performer
198.0,58.13,19.38,34,Average Performer
126.0,30.0,25.44,42,Average Performer
96.0,35.51,30.0,27,Low Performer
110.0,50.0,25.56,22,Low Performer
218.0,75.0,14.5,29,Average Performer
328.0,91.09,9.01,30,High Performer
297.0,69.04,15.26,43,Average Performer
84.0,38.19,26.07,22,Low Performer
111.0,55.61,17.31,20,Average Performer
65.0,50.0,22.66,13,Low Performer
272.0,70.93,8.54,31,High Performer
52.0,32.32,13.06,16,Average Performer
54.0,19.36,26.16,28,Low Performer
115.0,71.85,19.81,16,Average Performer
46.0,46.37,18.69,10,Low Performer
207.0,76.61,11.74,21,High Performer
283.0,85.14,10.5,27,High Performer
228.0,53.0,23.5,43,Average Performer
377.0,83.42,14.69,41,High Performer
135.0,52.04,10.48,26,Average Performer
142.0,70.96,17.46,20,Average Performer
104.0,64.98,16.09,16,Average Performer
48.0,23.93,23.56,20,Low Performer
197.0,70.29,15.77,28,Average Performer
48.0,30.23,14.93,16,Average Performer
180.0,58.15,15.8,31,Average Performer
203.0,53.52,19.92,38,Average Performer
102.0,42.31,26.53,24,Average Performer
450.0,90.89,10.96,42,High Performer
129.0,38.03,17.35,34,Average Performer
346.0,88.02,24.77,37,High Performer
167.0,66.9,26.27,25,Average Performer
441.0,100.0,8.19,39,High Performer
250.0,69.52,15.47,36,Average Performer
221.0,84.12,14.25,21,High Performer
103.0,39.68,21.18,26,Average Performer
111.0,42.68,20.95,26,Low Performer
14.0,18.03,19.4,8,Low Performer
329.0,71.77,16.12,39,High Performer
184.0,70.71,21.91,26,Average Performer
405.0,81.91,8.79,41,High Performer
77.0,45.55,30.0,17,Low Performer
37.0,31.07,28.31,12,Low Performer
120.0,50.0,27.79,24,Low Performer
45.0,30.0,10.0,15,Average Performer
139.0,43.28,20.76,32,Average Performer
210.0,65.52,17.26,32,Average Performer
129.0,58.68,15.14,22,Average Performer
138.0,39.41,18.99,35,Average Performer
196.0,59.35,23.67,33,Average Performer
120.0,50.0,28.9,24,Low Performer
96.0,56.5,21.06,17,Average Performer
269.0,100.0,13.42,20,High Performer
21.0,23.38,23.46,9,Low Performer
343.0,85.52,12.23,33,High Performer
11.0,15.82,30.0,7,Low Performer
263.0,78.31,8.25,27,High Performer
0.0,0.0,23.68,10,Low Performer
423.0,84.64,13.17,44,High Performer
209.0,61.61,19.71,34,Average Performer
124.0,49.47,20.24,25,Average Performer
216.0,52.64,16.96,41,Average Performer
279.0,85.26,5.74,27,High Performer
93.0,34.47,30.0,27,Low Performer
296.0,88.93,8.7,25,High Performer
154.0,61.77,23.96,25,Average Performer
422.0,86.05,7.93,44,High Performer
10.0,6.03,23.57,16,Low Performer
195.0,69.47,22.1,28,Average Performer
279.0,73.54,8.56,33,High Performer
393.0,82.96,13.85,41,High Performer
35.0,26.74,22.02,13,Low Performer
66.0,47.19,30.0,14,Low Performer
185.0,51.35,22.66,36,Average Performer
389.0,79.29,15.16,41,High Performer
149.0,64.81,22.35,23,Average Performer
127.0,74.52,18.96,17,Average Performer
126.0,30.0,21.8,42,Average Performer
32.0,28.96,25.53,11,Low Performer
111.0,44.54,14.68,25,Average Performer
127.0,48.83,12.68,26,Average Performer
46.0,26.99,30.0,17,Low Performer
145.0,65.86,10.0,22,Average Performer
433.0,88.84,13.23,44,High Performer
29.0,15.85,16.05,18,Low Performer
286.0,94.98,5.0,25,High Performer
107.0,48.69,23.54,22,Low Performer
138.0,50.98,16.62,27,Average Performer
382.0,91.96,5.43,36,High Performer
82.0,54.41,10.0,15,Average Performer
83.0,34.66,27.73,24,Low Performer
147.0,43.34,21.87,34,Average Performer
119.0,62.38,18.46,19,Average Performer
130.0,48.04,24.9,27,Average Performer
287.0,68.08,13.75,36,High Performer
442.0,81.57,10.72,44,High Performer
245.0,69.44,11.18,33,High Performer
230.0,68.94,9.49,29,High Performer
148.0,46.21,16.99,32,Average Performer
168.0,41.93,20.55,40,Average Performer
39.0,24.24,18.03,16,Low Performer
216.0,58.47,16.74,37,Average Performer
265.0,82.91,9.88,27,High Performer
82.0,35.46,19.86,23,Average Performer
214.0,71.18,14.24,30,Average Performer
101.0,56.32,12.29,18,Average Performer
170.0,51.45,13.04,33,Average Performer
255.0,67.37,16.91,25,High Performer
40.0,33.2,25.47,12,Low Performer
294.0,70.12,18.94,42,Average Performer
375.0,79.48,5.0,44,High Performer
402.0,85.77,10.8,38,High Performer
276.0,84.43,11.01,26,High Performer
115.0,38.25,18.68,30,Average Performer
103.0,48.96,20.35,21,Average Performer
40.0,36.76,30.0,11,Low Performer
142.0,75.0,19.71,19,Average Performer
254.0,60.42,13.11,42,Average Performer
113.0,56.64,10.0,20,Average Performer
134.0,48.03,15.97,28,Average Performer
17.0,13.92,25.06,12,Low Performer
10.0,17.28,22.74,6,Low Performer
176.0,53.24,17.17,33,Average Performer
41.0,25.42,21.87,16,Low Performer
133.0,44.35,21.16,30,Average Performer
32.0,12.77,23.49,25,Low Performer
130.0,44.98,25.0,29,Low Performer
226.0,70.66,16.84,32,Average Performer
482.0,87.99,10.0,45,High Performer
186.0,74.59,23.02,25,Average Performer
349.0,78.43,13.15,39,High Performer
256.0,89.4,17.73,26,High Performer
431.0,81.77,10.2,45,High Performer
138.0,72.43,15.16,19,Average Performer
174.0,58.12,16.08,30,Average Performer
325.0,91.48,12.42,31,High Performer
87.0,36.29,20.33,24,Low Performer
232.0,72.79,5.62,27,High Performer
245.0,62.91,16.84,39,Average Performer
202.0,51.75,17.62,39,Average Performer
55.0,42.49,29.64,13,Low Performer
159.0,36.98,28.47,43,Average Performer
180.0,75.0,13.15,24,Average Performer
145.0,69.15,17.56,21,Average Performer
259.0,66.64,8.92,34,High Performer
464.0,82.87,13.71,49,High Performer
192.0,66.32,22.34,29,Average Performer
108.0,38.69,18.65,28,Average Performer
20.0,25.04,28.7,8,Low Performer
72.0,45.28,17.15,16,Average Performer
126.0,30.0,22.81,42,Average Performer
68.0,40.06,26.09,17,Low Performer
276.0,72.03,11.24,29,High Performer
188.0,56.91,14.55,33,Average Performer
292.0,75.0,19.09,39,Average Performer
165.0,63.49,14.52,26,Average Performer
200.0,73.96,10.95,21,High Performer
54.0,33.75,10.69,16,Average Performer
181.0,69.61,10.0,26,Average Performer
91.0,37.86,18.74,24,Average Performer
507.0,99.51,10.77,46,High Performer
72.0,30.0,20.4,24,Average Performer
99.0,61.92,25.42,16,Average Performer
427.0,88.92,11.08,44,High Performer
151.0,47.12,14.73,32,Average Performer
455.0,93.34,15.13,41,High Performer
346.0,79.24,16.54,37,High Performer
238.0,87.27,12.1,21,High Performer
393.0,84.3,9.61,43,High Performer
385.0,100.0,9.4,34,High Performer
227.0,88.24,11.6,22,High Performer
289.0,84.62,10.12,31,High Performer
16.0,5.84,27.52,27,Low Performer
78.0,30.0,20.93,26,Average Performer
272.0,66.43,19.25,41,Average Performer
40.0,33.29,23.12,12,Low Performer
135.0,50.0,24.67,27,Low Performer
82.0,43.25,20.69,19,Low Performer
103.0,57.03,27.97,18,Average Performer
315.0,75.0,10.04,42,Average Performer
338.0,74.32,5.72,38,High Performer
136.0,48.67,15.43,28,Average Performer
329.0,91.98,7.66,31,High Performer
262.0,75.0,10.0,35,Average Performer
366.0,93.2,5.0,31,High Performer
128.0,47.32,18.93,27,Average Performer
93.0,30.0,24.37,31,Average Performer
23.0,10.55,22.91,22,Low Performer
149.0,37.34,23.17,40,Average Performer
134.0,58.13,28.03,23,Average Performer
311.0,83.84,18.65,32,High Performer
272.0,64.86,21.68,42,Average Performer
148.0,46.16,21.74,32,Average Performer
318.0,91.1,5.95,31,High Performer
87.0,39.5,25.89,22,Low Performer
202.0,45.98,25.9,44,Average Performer
233.0,77.87,18.32,25,High Performer
319.0,84.02,5.74,34,High Performer
293.0,68.21,22.69,43,Average Performer
174.0,51.22,10.0,34,Average Performer
164.0,68.25,10.0,24,Average Performer
369.0,85.15,19.95,37,High Performer
89.0,55.43,19.51,16,Average Performer
88.0,46.48,25.26,19,Average Performer
210.0,75.0,12.52,28,Average Performer
433.0,85.38,13.68,44,High Performer
287.0,98.29,14.97,25,High Performer
139.0,33.8,30.0,41,Average Performer
208.0,64.89,12.94,32,Average Performer
189.0,60.97,19.29,31,Average Performer
100.0,58.86,21.74,17,Average Performer
107.0,59.55,20.43,18,Average Performer
218.0,58.85,20.18,37,Average Performer
141.0,48.68,19.38,29,Average Performer
335.0,84.79,5.0,30,High Performer
238.0,91.63,15.99,22,High Performer
444.0,100.0,13.03,38,High Performer
67.0,39.41,20.08,17,Average Performer
179.0,64.05,14.76,28,Average Performer
306.0,91.08,14.21,30,High Performer
25.0,17.51,18.27,14,Low Performer
181.0,43.09,17.77,42,Average Performer
138.0,41.82,14.03,33,Average Performer
248.0,75.0,16.28,33,Average Performer
143.0,53.14,27.96,27,Average Performer
397.0,99.09,15.12,33,High Performer
188.0,60.68,10.0,31,Average Performer
443.0,79.23,16.87,49,High Performer
49.0,17.02,27.38,29,Low Performer
299.0,78.77,16.24,33,High Performer
241.0,98.99,14.28,22,High Performer
94.0,44.6,20.53,21,Average Performer
262.0,75.92,7.9,27,High Performer
197.0,44.87,22.13,44,Average Performer
126.0,30.0,10.0,42,Average Performer
337.0,76.39,14.83,32,High Performer
509.0,94.34,8.65,49,High Performer
82.0,43.4,18.78,19,Average Performer
40.0,44.26,28.25,9,Low Performer
322.0,75.0,16.52,43,Average Performer
165.0,75.0,23.68,22,Average Performer
412.0,81.25,10.93,45,High Performer
322.0,75.0,22.48,43,Average Performer
165.0,74.81,12.92,22,Average Performer
0.0,0.0,22.29,8,Low Performer
193.0,50.75,14.78,38,Average Performer
336.0,79.65,6.71,31,High Performer
107.0,44.46,20.6,24,Average Performer
488.0,92.28,11.83,47,High Performer
247.0,83.56,11.75,25,High Performer
69.0,30.0,17.04,23,Average Performer
202.0,54.51,13.96,37,Average Performer
252.0,84.75,11.53,24,High Performer
175.0,56.34,14.09,31,Average Performer
186.0,66.53,17.75,28,Average Performer
240.0,61.55,17.22,39,Average Performer
408.0,80.29,12.64,41,High Performer
12.0,19.22,15.0,6,Low Performer
465.0,100.0,10.45,42,High Performer
41.0,22.54,27.43,18,Low Performer
114.0,30.0,26.6,38,Average Performer
120.0,50.0,28.8,24,Low Performer
30.0,50.0,20.5,6,Low Performer
171.0,71.05,22.51,24,Average Performer
134.0,38.16,10.0,35,Average Performer
386.0,83.5,8.61,37,High Performer
95.0,59.39,23.69,16,Average Performer
304.0,87.24,14.49,33,High Performer
327.0,79.98,14.77,36,High Performer
172.0,45.25,15.53,38,Average Performer
298.0,90.01,10.94,27,High Performer
430.0,80.12,5.0,48,High Performer
107.0,48.52,15.9,22,Average Performer
56.0,37.61,18.08,15,Average Performer
510.0,100.0,11.5,46,High Performer
248.0,86.0,12.27,23,High Performer
485.0,96.97,13.63,44,High Performer
83.0,52.09,17.7,16,Average Performer
31.0,28.6,24.36,11,Low Performer
385.0,90.07,8.28,40,High Performer
253.0,63.22,24.76,40,Average Performer
47.0,22.34,30.0,21,Low Performer
176.0,86.83,12.78,21,High Performer
344.0,79.08,14.03,35,High Performer
218.0,60.63,19.48,36,Average Performer
139.0,34.85,17.59,40,Average Performer
248.0,75.0,15.07,33,Average Performer
240.0,81.95,13.47,21,High Performer
38.0,13.18,24.23,29,Low Performer
244.0,60.98,22.23,40,Average Performer
117.0,30.0,11.15,39,Average Performer
229.0,85.34,12.97,22,High Performer
331.0,70.97,10.59,42,High Performer
210.0,77.27,13.33,22,High Performer
35.0,50.0,30.0,7,Low Performer
249.0,62.15,15.51,40,Average Performer
464.0,100.0,15.42,42,High Performer
236.0,62.04,26.3,38,Average Performer
54.0,30.0,17.61,18,Average Performer
341.0,89.62,6.72,30,High Performer
281.0,93.82,13.73,27,High Performer
562.0,100.0,10.82,47,High Performer
291.0,100.0,10.06,24,High Performer
6.0,2.91,23.24,21,Low Performer
229.0,95.5,6.6,20,High Performer
44.0,40.03,30.0,11,Low Performer
49.0,32.92,30.0,15,Low Performer
74.0,30.68,15.57,24,Average Performer
115.0,44.24,23.98,26,Average Performer
108.0,43.05,19.95,25,Low Performer
344.0,90.44,13.31,34,High Performer
169.0,67.74,14.96,25,Average Performer
24.0,19.92,25.63,12,Low Performer
461.0,91.62,11.67,42,High Performer
308.0,75.0,12.28,41,Average Performer
301.0,74.35,13.93,28,High Performer
49.0,22.05,27.64,22,Low Performer
366.0,84.6,14.73,37,High Performer
155.0,67.37,14.69,23,Average Performer
94.0,52.21,13.55,18,Average Performer
135.0,75.0,10.0,18,Average Performer
221.0,73.71,30.0,30,Average Performer
332.0,87.24,11.24,31,High Performer
141.0,45.43,20.61,31,Average Performer
68.0,42.56,21.82,16,Average Performer
280.0,89.6,12.57,26,High Performer
140.0,50.0,22.32,28,Low Performer
142.0,75.0,22.03,19,Average Performer
225.0,75.0,16.42,30,Average Performer
271.0,66.01,19.04,41,Average Performer
160.0,55.04,22.99,29,Average Performer
105.0,30.0,21.73,35,Average Performer
262.0,75.0,15.53,35,Average Performer
43.0,35.73,24.48,12,Low Performer
110.0,47.83,22.32,23,Average Performer
363.0,84.91,8.67,36,High Performer
138.0,57.61,28.12,24,Average Performer
95.0,50.0,21.83,19,Low Performer
235.0,62.89,10.74,29,High Performer
11.0,7.11,21.93,15,Low Performer
19.0,17.64,18.88,11,Low Performer
32.0,23.14,26.12,14,Low Performer
162.0,53.93,12.92,30,Average Performer
146.0,73.16,17.79,20,Average Performer
73.0,31.7,19.09,23,Average Performer
439.0,86.34,15.5,46,High Performer
235.0,69.84,6.59,29,High Performer
122.0,45.28,22.02,27,Low Performer
142.0,48.88,19.69,29,Average Performer
146.0,50.5,21.77,29,Average Performer
103.0,57.27,10.59,18,Average Performer
120.0,57.11,24.88,21,Average Performer
375.0,86.31,14.21,39,High Performer
329.0,95.94,14.87,31,High Performer
268.0,66.99,29.41,40,Average Performer
245.0,57.01,11.52,43,Average Performer
87.0,30.0,16.62,29,Average Performer
322.0,76.71,19.6,35,High Performer
270.0,73.02,12.89,30,High Performer
356.0,90.86,5.0,32,High Performer
383.0,83.66,6.53,44,High Performer
90.0,31.19,16.72,29,Average Performer
61.0,26.37,30.0,23,Low Performer
142.0,45.74,19.21,31,Average Performer
99.0,49.45,13.54,20,Average Performer
393.0,88.76,18.17,40,High Performer
104.0,69.14,15.71,15,Average Performer
73.0,36.63,30.0,20,Low Performer
382.0,75.02,12.2,41,High Performer
204.0,53.77,10.0,38,Average Performer
186.0,64.18,20.34,29,Average Performer
40.0,43.9,27.01,9,Low Performer
354.0,90.63,10.77,35,High Performer
192.0,47.96,22.64,40,Average Performer
52.0,22.59,19.84,23,Low Performer
259.0,76.6,15.86,21,High Performer
121.0,67.39,12.95,18,Average Performer
217.0,57.07,12.28,38,Average Performer
166.0,39.45,24.06,42,Average Performer
25.0,27.5,26.99,9,Low Performer
194.0,74.73,18.85,26,Average Performer
102.0,63.85,18.86,16,Average Performer
225.0,75.0,10.05,30,Average Performer
452.0,100.0,17.24,39,High Performer
256.0,65.54,16.16,39,Average Performer
216.0,72.15,14.85,30,Average Performer
44.0,40.14,29.04,11,Low Performer
250.0,79.36,5.57,23,High Performer
30.0,23.43,19.18,13,Low Performer
27.0,16.14,30.0,17,Low Performer
99.0,30.0,20.16,33,Average Performer
139.0,44.86,14.26,31,Average Performer
203.0,47.24,21.76,43,Average Performer
17.0,12.4,30.0,14,Low Performer
105.0,50.0,29.1,21,Low Performer
93.0,46.35,12.94,20,Average Performer
391.0,75.96,10.03,44,High Performer
130.0,50.0,26.74,26,Low Performer
313.0,93.23,12.41,24,High Performer
524.0,97.36,11.21,49,High Performer
260.0,92.14,16.75,23,High Performer
12.0,20.78,19.93,6,Low Performer
98.0,65.6,10.71,15,Average Performer
93.0,30.0,19.67,31,Average Performer
153.0,63.89,10.0,24,Average Performer
194.0,64.78,21.31,30,Average Performer
244.0,96.73,10.13,24,High Performer
188.0,75.0,14.46,25,Average Performer
41.0,27.28,24.25,15,Low Performer
128.0,45.66,25.72,28,Average Performer
204.0,67.96,26.41,30,Average Performer
360.0,81.84,5.81,42,High Performer
153.0,45.14,21.12,34,Average Performer
346.0,72.55,14.55,46,High Performer
87.0,30.0,21.5,29,Average Performer
249.0,73.38,13.0,34,Average Performer
247.0,58.9,21.69,42,Average Performer
479.0,96.17,17.95,45,High Performer
285.0,69.61,19.08,41,Average Performer
188.0,64.75,14.34,29,Average Performer
5.0,7.91,26.48,6,Low Performer
149.0,59.5,15.91,25,Average Performer
155.0,40.79,23.07,38,Average Performer
273.0,85.47,13.48,28,High Performer
117.0,34.43,16.7,34,Average Performer
20.0,8.6,23.03,23,Low Performer
138.0,41.73,15.15,33,Average Performer
411.0,73.09,7.97,48,High Performer
98.0,44.65,15.55,22,Average Performer
157.0,47.62,20.56,33,Average Performer
75.0,46.57,16.66,16,Average Performer
250.0,85.29,9.81,26,High Performer
354.0,93.58,7.23,33,High Performer
394.0,79.43,16.92,45,High Performer
115.0,50.0,17.65,23,Low Performer
